feature,abs_logistic_weight,signed_logistic_weight,subtype_0_mean,subtype_1_mean,direction
theta_Frontal_rel,0.9751661008586373,0.9751661008586373,0.19038309780058896,0.24044025909210234,higher_in_subtype_1
beta_Frontal_rel,0.9389134289080714,-0.9389134289080714,0.2422538590115169,0.12432913569080836,higher_in_subtype_0
gamma_Frontal_rel,0.8207048376979394,-0.8207048376979394,0.11180277225518917,0.05494107274966808,higher_in_subtype_0
beta_Occipital_rel,0.8016446852342314,-0.8016446852342314,0.2537136418540974,0.16501982828630163,higher_in_subtype_0
beta_Parietal_rel,0.799558036778767,-0.799558036778767,0.268248044416133,0.16813495172397028,higher_in_subtype_0
gamma_Central_rel,0.7276835011437993,-0.7276835011437993,0.11201307026866884,0.05982810007813814,higher_in_subtype_0
theta_Central_rel,0.7061609463878493,0.7061609463878493,0.1817756350287591,0.23605389252557077,higher_in_subtype_1
theta_Temporal_rel,0.6986579244232066,0.6986579244232066,0.18551227427334066,0.23930280322073164,higher_in_subtype_1
delta_Parietal_rel,0.6810839739130629,0.6810839739130629,0.2531672499975638,0.38369780213928717,higher_in_subtype_1
theta_Parietal_rel,0.6701836036664774,0.6701836036664774,0.18297201887696216,0.23275519373448067,higher_in_subtype_1
beta_Central_rel,0.5698574967051524,-0.5698574967051524,0.2641487577603051,0.1548389778921909,higher_in_subtype_0
delta_Frontal_rel,0.5672219978209728,0.5672219978209728,0.3322276019009463,0.5011352975420809,higher_in_subtype_1
delta_Central_rel,0.5248065574759485,0.5248065574759485,0.2682845112318052,0.42044894904259306,higher_in_subtype_1
delta_Occipital_rel,0.5227832090537167,0.5227832090537167,0.26227949891380636,0.3867770222098346,higher_in_subtype_1
beta_Temporal_rel,0.5183312976675654,-0.5183312976675654,0.2709500946115825,0.1662229577452581,higher_in_subtype_0
theta_Occipital_rel,0.46881845945826,0.46881845945826,0.18556318941833952,0.23000271171171102,higher_in_subtype_1
gamma_Parietal_rel,0.45861709513144244,-0.45861709513144244,0.08832107372002829,0.054564410371076115,higher_in_subtype_0
delta_Temporal_rel,0.4525680475250032,0.4525680475250032,0.25910515189215266,0.3984351927839069,higher_in_subtype_1
gamma_Temporal_rel,0.41473177444541276,-0.41473177444541276,0.11326714689872232,0.06372105234897307,higher_in_subtype_0
alpha_Temporal_rel,0.3067906521796209,-0.3067906521796209,0.20577837761009046,0.18228589172961987,higher_in_subtype_0
alpha_Parietal_rel,0.27869863678118306,-0.27869863678118306,0.24484472675393243,0.21318136324330197,higher_in_subtype_0
gamma_Occipital_rel,0.2204709669600435,-0.2204709669600435,0.09064210570548559,0.05549050799751073,higher_in_subtype_0
alpha_Occipital_rel,0.14351945017654197,-0.14351945017654197,0.24642223239506816,0.21540062860392736,higher_in_subtype_0
alpha_Central_rel,0.13191261829386683,-0.13191261829386683,0.20572376540481432,0.17831157709793474,higher_in_subtype_0
alpha_Frontal_rel,0.07566495757460077,0.07566495757460077,0.16807573743090595,0.13831195981200517,higher_in_subtype_0
