subject_id,file,status,n_epochs,n_channels,sfreq,message
01_01_sub001,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub001.set,ok,116,126,128.0,
01_01_sub002,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub002.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub003,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub003.set,ok,170,126,128.0,
01_01_sub004,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub004.set,ok,134,126,128.0,
01_01_sub005,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub005.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub006,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub006.set,ok,103,126,128.0,
01_01_sub007,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub007.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub008,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub008.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub009,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub009.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub010,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub010.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub011,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub011.set,ok,159,126,128.0,
01_01_sub012,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub012.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub013,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub013.set,ok,162,126,128.0,
01_01_sub014,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub014.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub015,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub015.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub016,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub016.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub017,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub017.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub018,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub018.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub019,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub019.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub020,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub020.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub021,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub021.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub022,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub022.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub023,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub023.set,ok,131,126,128.0,
01_01_sub024,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub024.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub025,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub025.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub026,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub026.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub027,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub027.set,ok,127,126,128.0,
01_01_sub028,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub028.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub029,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub029.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub030,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub030.set,ok,101,126,128.0,
01_01_sub031,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub031.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub032,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub032.set,ok,172,126,128.0,
01_01_sub033,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub033.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub034,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub034.set,ok,53,126,128.0,
01_01_sub035,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub035.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub036,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub036.set,ok,85,126,128.0,
01_01_sub037,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub037.set,ok,109,126,128.0,
01_01_sub038,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub038.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub039,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub039.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub040,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub040.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub041,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub041.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub042,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub042.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub043,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub043.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub044,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub044.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub045,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub045.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub046,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub046.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub047,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub047.set,ok,86,126,128.0,
01_01_sub048,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub048.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub049,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub049.set,ok,133,126,128.0,
01_01_sub050,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub050.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub051,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub051.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub052,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub052.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub053,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub053.set,ok,108,126,128.0,
01_01_sub054,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub054.set,ok,83,126,128.0,
01_01_sub055,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub055.set,failed,0,0,,TypeError: buffer is too small for requested array
01_01_sub056,D:\Adnan_Project\gn7754\data\EEG-PRO_data\EEG-PRO_data\RAW\Tinnitus Dataset\01_01_sub056.set,ok,192,126,128.0,
